temperature,volume,error
1,35634.6503341,0.07866081037968886
2,35634.64282673333,0.1537155810285385
3,35635.41110399999,0.2295049651968924
4,35634.644175099995,0.28783957607023425
5,35635.13508043333,0.2906856241277526
6,35637.35436173333,0.3725134731079533
7,35637.3232036,0.3880209195083281
8,35639.64911083333,0.5324039806853804
9,35637.31961786667,0.4405053645965438
10,35640.638155,0.5030764574693337
11,35639.70078993333,0.5408329873921796
12,35637.268201533334,0.621027899640827
13,35638.350422066665,0.49460707705135537
14,35640.22218353333,0.6298011541539624
15,35643.1532723,0.6091304080416314
16,35645.79992633333,0.5408802886873931
17,35644.49371663333,0.7876710641496918
18,35642.18229726666,0.823075751558092
19,35658.28926926667,0.874050282818601
20,35652.97287346667,0.8990454874810003
21,35663.4118145,0.835579470423784
22,35656.281659600005,0.8795739907211314
23,35644.96128253333,1.8423404527532876
24,35652.5225119,2.1851228009021746
25,35656.699462866665,1.8356607314859117
26,35654.734818666664,2.2459139644357506
27,35648.08306053333,2.103323954458793
28,35655.803373233335,1.7837033803387399
29,35657.3841221,2.7206051712271617
30,35667.7374738,1.9462661213398058
31,35661.92105790001,1.9635017066384204
32,35669.122719700004,1.2027149272122304
33,35660.492176433334,1.6398866956114602
34,35667.437755666666,1.106784095240544
35,35672.532529033335,1.1759323809716007
36,35666.363846299995,1.129098688278271
37,35657.85208026666,0.9988452669677018
38,35662.795955233334,1.0506017656542461
39,35662.82494203334,1.6573536154788127
40,35661.946465466666,1.146185779759563
41,35675.6538526,1.5620002140279665
42,35683.206068733336,1.113168555862516
43,35667.8734132,1.3150493697942076
44,35669.761314933334,1.0330660166032295
45,35663.266173200005,1.4775980394598556
46,35683.0271089,1.5925637236912735
47,35678.71785256666,1.18615327138688
48,35683.8402417,1.5381322003829656
49,35663.66732273333,2.405691392538114
50,35671.77738373333,1.2117525003009448
51,35682.9101769,1.566255724020434
52,35699.01753833333,1.5575966213029018
53,35683.2459626,1.738652876644792
54,35681.1605578,1.7967340497427746
55,35685.0715668,2.74905323397321
