temperature,a,error
1,6.581438526613333,4.842669157042546e-06
2,6.581438054056667,9.463293041170616e-06
3,6.581485339206667,1.412896406344266e-05
4,6.581438113723332,1.7720537228156112e-05
5,6.581468339639999,1.789548716315189e-05
6,6.581604945496666,2.293212431537616e-05
7,6.58160302796,2.388684515477252e-05
8,6.581746167676667,3.2773432342914005e-05
9,6.581602800460001,2.711776517495825e-05
10,6.581807072606667,3.096771404068681e-05
11,6.58174936592,3.329225986245722e-05
12,6.581599598553332,3.8229621561415e-05
13,6.581666257676667,3.044807669115606e-05
14,6.581781448703334,3.876924226995393e-05
15,6.58196187899,3.749459461268629e-05
16,6.58212481299,3.329116665101192e-05
17,6.582044347870001,4.848439261655185e-05
18,6.581902053783334,5.066345737147461e-05
19,6.58289335462,5.378549193783276e-05
20,6.582566193823334,5.532892083351984e-05
21,6.583208587053334,5.14122060141872e-05
22,6.58276982706,5.412790411988545e-05
23,6.582072617033334,0.0001133990453299
24,6.58253772708,0.0001344811632159
25,6.582795050486666,0.0001129641836659
26,6.582673843766666,0.0001382135929907
27,6.582264581523333,0.000129454579355
28,6.582739952013333,0.0001097615219402
29,6.582836440446666,0.0001674143480346
30,6.583474179773334,0.0001197400180161
31,6.583116313243333,0.0001208172187418
32,6.583559856296667,7.399718482886756e-05
33,6.583028598106667,0.0001009072819453
34,6.583456229936667,6.809592864513397e-05
35,6.583769653526668,7.23378743160062e-05
36,6.583390138683335,6.946795996701037e-05
37,6.582866460816667,6.146399667440302e-05
38,6.583170648533333,6.46445116310412e-05
39,6.583172284763333,0.0001019741727497
40,6.583118346709999,7.052420381903335e-05
41,6.583961573383333,9.60858656526714e-05
42,6.584426286543334,6.846731355452911e-05
43,6.583482991756665,8.090618475387079e-05
44,6.583599246146666,6.356204588151046e-05
45,6.58319945677,9.092309421158153e-05
46,6.58441508295,9.795631128561616e-05
47,6.58415017667,7.296216933783916e-05
48,6.584465156063334,9.460716242866412e-05
49,6.583223664236668,0.0001480247978869
50,6.583723218033333,7.454780863715291e-05
51,6.584407915359999,9.633503489022396e-05
52,6.585398562276666,9.57762460656164e-05
53,6.58442851772,0.0001069382015063
54,6.584300264596667,0.0001105245450193
55,6.58454038323,0.000169074806844
56,6.584764710566667,0.000108559524413
57,6.5850130193,0.0001110206324986
58,6.585880712410001,0.0001071780297252
59,6.5845228198833325,0.0001200938033803
