temperature,B
1,47.53983881020757
2,35.427695569392085
3,29.16203179402346
4,28.70985261617265
5,39.78844621969845
6,31.799722053306933
7,37.299162674467865
8,23.820322319908932
9,42.68272186694361
10,38.49492098520791
11,39.78053541869236
12,35.24808414691824
13,62.39092524320171
14,43.44892201886545
15,48.943133606389026
16,73.45917908354224
17,37.93195081660763
18,35.38189912949324
19,32.780579030674396
20,36.60963519476977
21,41.866291210369184
22,42.237479053444304
23,10.213684427322745
24,7.514813538141227
25,11.146379043218928
26,7.85042676672265
27,9.330173448871589
28,13.462084967873611
29,5.959071634781419
30,12.133374388876309
31,12.782572666034945
32,36.073027221704464
33,19.5602910113502
34,45.86280223815786
35,42.39356057492841
36,44.954541975107794
37,67.70503180558823
38,57.91130800057269
39,33.14949810285348
40,52.28448274348846
41,34.82516153298531
42,67.3907829932478
43,48.25554544438439
44,82.86170367419167
45,41.00028797057397
46,34.96121826783083
47,62.62366738929784
48,43.41950475758117
49,17.647041924855806
50,66.81964326582431
51,41.527858681766865
52,50.569789621446375
53,37.6410907143911
54,40.24612490531977
55,18.97124208898404
56,41.78570283241657
57,38.37646217151599
58,42.25705263258243
59,35.16569168448608
60,55.079350463559436
61,39.38336398268206
62,31.437786393520845
63,125.07062485399427
64,34.3325859708301
65,44.12865654487755
66,35.58870353649364
67,41.10865089446127
68,62.05531082715595
69,26.42659254350384
70,75.43496930333916
71,32.365093790561595
72,53.61759447276087
73,31.482798362104912
74,44.712241540490666
75,37.336063102500034
76,62.435911046959916
77,32.29854842315598
78,47.140978040660386
79,28.2529103448368
80,50.003998094330484
81,23.351773314700203
82,27.15875531323246
83,54.63145772498349
84,22.88835067891094
85,21.816714036583104
86,21.012578800534648
87,21.259689231894974
88,16.188470206708427
89,10.814765205245582
90,11.378206941287118
91,15.171644314099952
92,27.491490555089886
93,7.942078362494192
94,25.036903758291583
95,10.445694474942622
96,16.46037205642507
97,16.604003002256924
98,22.637666550104008
99,32.94102579530103
100,13.775633440578583
101,23.516581778373318
102,21.410703337829535
103,22.41459039703786
104,13.431314741461788
105,14.811511252961017
106,20.97482467433627
107,12.783616210547834
108,62.39335059951146
109,21.94340461107828
110,33.54415559645677
111,35.27096458563263
112,63.4052392588226
113,17.566981374964225
114,11.661620922307469
115,27.946653859507432
116,42.467343506091694
117,27.412254838199186
118,33.35716380410214
119,82.90562206464034
120,33.12026904071196
121,72.04599021984998
122,57.56795633346735
123,26.250715294209833
124,22.96592894351968
125,19.35760642384943
126,58.62493784593368
127,45.72678868415362
128,112.8987710082999
129,59.701818690465785
130,31.387797734512528
131,35.44004469138001
132,33.9156611172565
133,45.682004331984565
