temperature,Cp,error
1,3.2020164053573783,0.02614479022062283
2,1.8096046638222711,0.01477560647057756
3,1.5957734567119344,0.013029652876096103
4,2.1170894929530144,0.01728625143173293
5,2.2657637464366407,0.018500191860655647
6,1.2803555753296685,0.010454233734965176
7,1.3578451553186606,0.01108694405141037
8,1.5876396028910111,0.012963239130845627
9,1.4649679944551122,0.011961612948288637
10,1.3275259807922712,0.010839384902016684
11,0.7488818952697724,0.006114696982530099
12,0.633210349052119,0.005170227021259525
13,0.9182757355685116,0.007497814949029688
14,1.0614002332203167,0.008666441056090757
15,0.9562783738286856,0.007808110362719667
16,1.056590468478228,0.008627168836878493
17,0.7068084100351212,0.005771162688492759
18,0.7173789036731663,0.005857471846132528
19,0.8495227066655675,0.006936439462416818
20,0.781145760562926,0.006378134730189541
21,0.8408174282943838,0.006865359977487907
22,0.7961770304411161,0.0065008665803628655
23,0.7196622677264105,0.005876115746291659
24,0.6490891335516993,0.005299878914674377
25,0.8767883037286893,0.007159065840677297
26,0.854186095748814,0.006974516509459621
27,0.8051202187464138,0.006573888624145755
28,0.7460936282576716,0.006091930498264593
29,0.8523818072389244,0.006959784309927597
30,0.8514842666143312,0.006952455799272493
31,0.4728781272156155,0.0038610980928417164
32,0.8636137854131419,0.0070514945562074735
33,0.5346415228373403,0.004365402511501653
34,0.6178463908059182,0.005044778736661965
35,0.5841684121745894,0.004769794609504616
36,0.7103236639066324,0.005799865094541998
37,0.801969832441488,0.006548165398956028
38,0.4018435351359491,0.0032810934104100186
39,0.4174829433817587,0.0034087907723214838
40,0.4662983320268709,0.0038073733946744717
41,0.3706124356538886,0.0030260883008322802
42,0.2989806519375043,0.0024412074878356737
43,0.344972871155937,0.0028167386441517246
44,0.5912118400756314,0.00482730491600983
45,0.4177428507238834,0.0034109129422533056
46,0.2689955320091404,0.0021963759282735066
47,0.2736572871595462,0.0022344396340881756
48,0.4346249705517829,0.0035487571708591823
49,0.284279989930674,0.002321175084619438
50,0.3305145568188962,0.0026986850343534434
51,0.5295246210915442,0.004323622487358257
52,0.2750105159255465,0.0022454888848504125
53,0.3415386879180653,0.00278869818808688
54,0.6139706208771971,0.005013132680270664
55,0.3991794531049775,0.0032593409091693165
56,0.2826418528119178,0.0023077995281260864
57,0.383993232577162,0.0031353438711530365
58,0.3568714605590371,0.0029138918390400744
59,0.4759426097360205,0.0038861199048776268
60,0.2606293904359598,0.0021280655298567858
61,0.3815270383507544,0.0031152071440004652
62,0.3469725661524926,0.0028330663575584086
63,0.2924185566919482,0.002387627311508107
64,0.5007632169219679,0.00408878269165765
65,0.4476995422778345,0.0036555123812416703
66,0.4264030347356329,0.003481624227142526
67,0.2964014810041286,0.0024201482943588966
68,0.3015236888488141,0.002461971643340391
69,0.4136305713646674,0.0033773357622627806
70,0.313671193223901,0.002561157254338314
71,0.3732973526607954,0.0030480109217744817
72,0.353527334822092,0.002886586711646744
73,0.268389428344933,0.002191427030096052
74,0.3243698309988403,0.002648512721913128
75,0.3273142367495652,0.002672554094889325
76,0.4248393254764338,0.003468856381706318
77,0.2289119489840526,0.001869089388539219
78,0.3250486788842896,0.0026540555840693274
79,0.2704948042346431,0.0022086176387637437
80,0.265571062214433,0.0021684147834618544
81,0.2134986781231398,0.0017432384614178048
82,0.2799675598739781,0.0022859636537895453
83,0.2879846340763081,0.0023514238815548964
84,0.3171392343553861,0.002589474163554477
85,0.3092246872510973,0.0025248510799916763
86,0.2690811209851617,0.0021970747709838473
87,0.2036555742580675,0.0016628685153920616
88,0.2038116338580347,0.0016641427579275558
89,0.3616708775065679,0.0029530795674553786
90,0.30690006117135,0.0025058702711817354
91,0.2452953479305604,0.0020028615103311474
92,0.2503642196643801,0.0020442493645327154
93,0.244792353839718,0.0019987545123266136
94,0.2784223662942909,0.0022733469907632153
95,0.2243920903037984,0.0018321842818619413
96,0.2472559042497226,0.002018869652448861
97,0.2345664984163298,0.0019152593608265812
98,0.2328885588993141,0.0019015588136957577
99,0.2681426880897113,0.0021894123707704594
100,0.2508268961494586,0.0020480271651780067
101,0.2123250094527395,0.0017336553371324974
102,0.2311349630872457,0.0018872405252067974
103,0.1926445956414516,0.0015729627530188498
104,0.2961061491230965,0.0024177368794572967
105,0.2288375126907049,0.001868481608619316
106,0.221825681358482,0.0018112292913180566
107,0.266653815348481,0.002177255573128966
108,0.2455399612698956,0.002004858803171804
109,0.2391053995127544,0.0019523199507722256
110,0.2252432271495988,0.0018391339009348675
111,0.2302884562693272,0.0018803287107833056
112,0.218457124474718,0.0017837246811215279
113,0.228097678356516,0.0018624407858949166
114,0.2631562309151981,0.0021486974398432965
115,0.2321262994897996,0.0018953348879463118
116,0.2295538984830921,0.0018743309716106051
117,0.2412189558761496,0.0019695773538411093
118,0.2061032501834442,0.001682854038729785
