temperature,a,a error,c,c error
132,5.865822263293333,0.0002113969817298,3.223144518076667,0.0001161581357129
133,5.864899290903333,0.0001759212147107,3.22263736476,9.66649553621932e-05
134,5.864209950713333,0.0001928025877409,3.222258586413333,0.0001059409383704
135,5.865271998446668,0.0001841069893714,3.2228421595200003,0.0001011628728669
136,5.864749633803333,0.0001710858951217,3.2225551315833334,9.40080285346009e-05
137,5.865574602306666,0.0001492761231844,3.2230084336033333,8.202407447102304e-05
138,5.865466299096668,0.0001658729038113,3.22294892391,9.114364531440368e-05
139,5.865179326776667,0.0001849808308684,3.22279123818,0.0001016430513589
140,5.864748865906666,0.0001919736552932,3.2225547092366664,0.0001054854510851
141,5.86552308505,0.0002223814181829,3.222980126336666,0.0001221938426569
142,5.867282623753334,0.0002087416437172,3.22394695534,0.0001146990947262
143,5.866148865513333,0.00016281006231,3.223323978936667,8.946066097258789e-05
144,5.86612850243,0.0001999999176381,3.2233127900033334,0.0001098956865613
145,5.866367964769999,0.0001920005532696,3.22344437,0.0001055002494094
146,5.866969128623333,0.0002151712367154,3.223774696306667,0.0001182320099996
147,5.866188997126667,0.0001876314838413,3.22334603068,0.0001030995165499
148,5.86651910178,0.0001985738413032,3.2235274160766663,0.0001091120833992
149,5.867392789003333,0.0002167446622572,3.2240074885233336,0.0001190965718705
150,5.866230877846666,0.0001994702750956,3.2233690429866666,0.0001096046916516
151,5.866907984739999,0.000211202031299,3.22374109896,0.0001160510239145
152,5.866929416603334,0.0001980929258288,3.223752875483333,0.0001088478439007
153,5.86692017081,0.0001915592400913,3.2237477949733333,0.0001052577098887
154,5.867303465803334,0.0001621701437897,3.22395840748,8.910904421937946e-05
155,5.866922802446667,0.0001873019206551,3.22374924106,0.0001029184433772
156,5.867274583986665,0.0002325253285444,3.223942537583333,0.0001277677000164
157,5.867333103133333,0.0001959364665175,3.2239746927266664,0.000107662907919
158,5.867327799596667,0.0001882982027551,3.223971778663333,0.0001034658607797
159,5.867293044506666,0.0002204880069443,3.2239526814066664,0.000121153442014
160,5.867783832843334,0.0001995167059164,3.224222359123333,0.0001096301683296
161,5.868207091216667,0.0002341374122082,3.2244549301600007,0.0001286534905028
162,5.86903917167,0.0002057833979206,3.2249121410000003,0.0001130735723759
163,5.8682972217,0.0001718546709506,3.2245044551466666,9.443048996178808e-05
164,5.868219953196666,0.0001993262303521,3.22446199787,0.0001095255295216
165,5.868295270946667,0.0002363288226362,3.2245033835066668,0.0001298576567141
166,5.869421057519999,0.0002200657018835,3.225121979133333,0.0001209214327788
167,5.868573359916667,0.0002217195590269,3.2246561875433333,0.0001218301540456
168,5.869578118376666,0.0002306214694278,3.2252082808233333,0.0001267215711461
169,5.8691475974000005,0.0002216470447322,3.2249717186000004,0.0001217903518989
170,5.8714045854100005,0.000205785278064,3.2262118855833326,0.0001130745956217
171,5.868985260593332,0.0002463533681339,3.2248825177833336,0.0001353659117997
172,5.87021988065,0.0002201241828632,3.2255609155733334,0.0001209535627765
173,5.86952054382,0.0001689723482085,3.2251766445366665,9.284673280548506e-05
174,5.869192241766666,0.0002076560487735,3.2249962498933336,0.0001141025941538
175,5.869104118163333,0.0002346622830262,3.224947827663333,0.0001289419263254
176,5.869418394336667,0.000237371148965,3.225120516153333,0.0001304303633672
177,5.870738965650001,0.000214946411028,3.2258461413266666,0.0001181084745682
178,5.869768185390001,0.0002395672654902,3.22531271882,0.00013163711351
179,5.870230995093333,0.0001982406820603,3.2255670223899995,0.0001089290308628
180,5.86929803801,0.0002190269928865,3.22505438222,0.0001203506504769
181,5.870064233546667,0.0002238326510673,3.22547539064,0.0001229912975265
182,5.870044382216666,0.0001993850761922,3.225464482986667,0.0001095578373196
183,5.869460875643333,0.0002098985261252,3.22514385831,0.0001153347604923
184,5.87095647088,0.0002482573746601,3.22596565615,0.0001364121337636
185,5.870186383443333,0.0002662976807682,3.22554250938,0.0001463249053248
186,5.870093203403333,0.0002581731330601,3.2254913091300006,0.0001418606691727
187,5.8706073667,0.0002396520069579,3.2257738305066663,0.0001316836770171
188,5.870570210873334,0.0002606821738993,3.225753414286667,0.0001432393071503
189,5.870873718203333,0.000279358492906,3.225920185363333,0.0001535015429565
190,5.871163457006666,0.0002410264412212,3.2260793905333336,0.0001324389203362
191,5.873616224239999,0.0003957749322142,3.2274271338966667,0.000217469905493
192,5.872451871273334,0.0002614803676103,3.226787346733333,0.0001436778969233
193,5.871206159370001,0.000259033706148,3.226102854196667,0.0001423335228524
194,5.871393729896667,0.0002023353784083,3.22620592065,0.0001111789688395
195,5.871279159526667,0.0001878237277597,3.2261429666233328,0.0001032051000116
196,5.871350553626666,0.0002721418760146,3.226182196316666,0.0001495361657901
197,5.87121362035,0.0002005124159294,3.226106954383333,0.0001101773436321
198,5.872767627700001,0.0002056205659579,3.2269608482500005,0.0001129841101802
199,5.871759650723334,0.0002509189876867,3.2264069864,0.0001378746363046
200,5.871849035166668,0.0002262767750068,3.22645610108,0.0001243343134175
201,5.8717114270833335,0.0002107892938305,3.2263804885966665,0.0001158242311794
202,5.872221905239999,0.0002568604995325,3.226660985223333,0.0001411393948967
203,5.8725084696900005,0.0002559130759215,3.226818446263333,0.0001406188087576
204,5.872204565730001,0.000302093660058,3.22665145746,0.0001659940372603
205,5.87281364075,0.000255551006367,3.2269861316266666,0.0001404198188191
206,5.872669057823334,0.0002558650818931,3.2269066864333333,0.0001405924203954
207,5.872542427023333,0.0002582693935382,3.2268371054800005,0.00014191353523
208,5.872263660996667,0.0002774798010439,3.22668392944,0.0001524692690288
209,5.872996447969999,0.0002729862244653,3.2270865800133333,0.0001500001149824
210,5.872793047276667,0.0002623096148681,3.226974815513333,0.0001441335550384
211,5.873077880723333,0.0002584331941264,3.2271313260266665,0.0001420035144608
212,5.873054530356666,0.0002561337753704,3.2271184953333334,0.0001407400514779
213,5.8733000984466655,0.000253711258333,3.227253429683333,0.0001394089680515
214,5.8738237494300005,0.0003100893862529,3.227541164793333,0.0001703875131809
215,5.873672219866666,0.0002938608182382,3.22745790217,0.0001614702729386
216,5.873437404266667,0.0002558138282066,3.22732887641,0.0001405642179881
217,5.873743595853333,0.0002665765868631,3.2274971220466666,0.0001464781696853
218,5.873801887073333,0.0002639929319405,3.227529151383333,0.000145058471769
219,5.873886584236667,0.0003132715219235,3.22757569105,0.0001721360456104
220,5.874096987903332,0.0002520093829786,3.2276913030000003,0.0001384738341973
221,5.8743239422733335,0.0002577889165263,3.22781600976,0.0001416495177334
222,5.873892753203333,0.0002618754767865,3.22757908064,0.0001438950171511
223,5.874211213206666,0.0002698891581029,3.2277540680366665,0.0001482983314589
224,5.875565398626667,0.000304293250397,3.2284981637533336,0.0001672026877267
225,5.875672486776667,0.0002365013335765,3.228557006453333,0.000129952431143
226,5.874161254830001,0.0002646704456429,3.2277266168266667,0.0001454307902327
227,5.874794084976667,0.0002721809181643,3.228074343483333,0.0001495576163003
228,5.874930551166667,0.0002984646607707,3.228149328756667,0.000163999977658
229,5.876262093496666,0.0003491963968255,3.2288809829633336,0.0001918759748203
230,5.876549660219999,0.0002886783917616,3.2290389947066664,0.000158622625111
231,5.874997954646667,0.0002991852395553,3.228186365626666,0.0001643959647703
232,5.875331640293334,0.0002631051467665,3.228369718633333,0.0001445706585912
233,5.875487319253334,0.0002819761274986,3.22845526072,0.0001549399077462
234,5.875414563016666,0.0002873890302415,3.228415282893333,0.0001579141592992
235,5.875821350836667,0.0002923849204228,3.2286388039333334,0.0001606593004768
236,5.876543472876667,0.0002298085954275,3.22903559512,0.0001262749259296
237,5.875809626716666,0.0002953985044708,3.2286323620833337,0.0001623151855528
238,5.87738769001,0.0003095524088302,3.2294994743,0.000170092466886
239,5.876260386179999,0.0002792806341984,3.22888004466,0.0001534587622947
240,5.87549120293,0.0002991827069106,3.228457395066666,0.0001643945493895
241,5.876082159433333,0.0002919660025213,3.2287821128900003,0.000160429111637
242,5.876702661986666,0.0002353017293114,3.2291230658033334,0.0001292933246597
243,5.876334823286666,0.0002639915720364,3.228920946496667,0.0001450577412386
244,5.876433559656667,0.0002870654640754,3.228975199633333,0.0001577363828349
245,5.876689981453334,0.0002849291675649,3.2291160983266667,0.0001565624866789
246,5.876754111806666,0.0002953932823379,3.229151336653333,0.0001623123452965
247,5.877132905833334,0.0002742351967233,3.2293594755500004,0.0001506863902602
248,5.878108947229999,0.0002760151018015,3.2298957900466663,0.0001516644024835
249,5.877451067166667,0.0003098846996001,3.229534298676666,0.0001702750794219
250,5.877256844956666,0.0002919773274732,3.22942757775,0.0001604353174376
251,5.87762767195,0.0003191851115277,3.2296313389600004,0.0001753854466139
252,5.877427255623332,0.0003231059502641,3.22952121454,0.0001775398638608
253,5.877503895713334,0.0002524110151554,3.22956332721,0.0001386944911371
254,5.877533051946667,0.0003673392887687,3.2295793475666668,0.0002018451574776
255,5.877896677343334,0.0003479510364892,3.229779151963334,0.0001911917052801
256,5.876222894993333,0.0003932037482369,3.228859444173333,0.0002160570857707
257,5.878816278753334,0.0002657604241311,3.2302844533566666,0.0001460297005143
258,5.8780598120333325,0.0003073307648371,3.229868791106667,0.0001688717006765
259,5.877844911560001,0.0003028025563239,3.22975070761,0.0001663835398975
260,5.8783258237033325,0.0002917954015228,3.23001495864,0.0001603353610834
261,5.878314984883333,0.0002374619537113,3.230009002866667,0.0001304802817173
262,5.878392954896666,0.000313449756798,3.230051845886667,0.000172233959156
263,5.878779053223334,0.0003539793066005,3.2302639986066666,0.0001945040961563
264,5.878558435776665,0.0002969502955109,3.2301427742,0.0001631678767395
265,5.87862762433,0.0003011387176438,3.2301807915233334,0.0001654693031805
266,5.87921411725,0.0003408494555325,3.230503056926667,0.0001872895112038
267,5.87946829206,0.0003362296735649,3.23064272052,0.0001847510796006
268,5.8793429093933325,0.0003702088132594,3.23057382533,0.0002034218938466
269,5.879253010103333,0.0003254494308238,3.2305244279600003,0.0001788274964114
270,5.879628154880001,0.0003429346759957,3.230730562036667,0.0001884353152705
271,5.879642154076668,0.0003508351543888,3.2307382540700003,0.0001927764888091
272,5.88007100837,0.0003627968342939,3.2309739006766662,0.0001993491391874
273,5.87992234539,0.0003034959930259,3.23089221341,0.0001667645901875
274,5.879681993453333,0.000369177949694,3.23076014509,0.0002028554356224
275,5.8799499093700005,0.0003507154301952,3.230907359143333,0.000192710686802
276,5.8802447254966665,0.0003263259347782,3.2310693544800007,0.0001793091452157
277,5.879597894713333,0.0002544991096713,3.2307139347666665,0.0001398418235994
278,5.878470791993334,0.0004017293292697,3.23009461585,0.0002207416725645
279,5.880291085656666,0.0003513261052161,3.231094828293333,0.000193046230086
280,5.880263254836667,0.0003511062829249,3.231079536163333,0.0001929254217089
281,5.880197644353334,0.0003618286082989,3.2310434844066664,0.0001988170702661
282,5.8806706927166665,0.0001808101337139,3.23130341452,9.935131185651323e-05
283,5.880911139253333,0.0003222031992276,3.23143553457,0.0001770437958795
284,5.8823342792533335,0.0003982482592479,3.23221751922,0.0002188289471116
285,5.88062797504,0.0004046990038954,3.2312799420466667,0.0002223735023919
286,5.8810881123600005,0.0002834344649924,3.231532777683333,0.0001557412094892
287,5.881032406146666,0.0003154774773037,3.2315021680666667,0.0001733481750226
288,5.881527559583334,0.0002649184733054,3.2317742446033333,0.0001455671165568
289,5.881136992613333,0.0003144333773737,3.2315596359700005,0.0001727744549441
290,5.881725478026667,0.0003117087535753,3.231882996216666,0.0001712773097573
291,5.881495140446666,0.0003126450593117,3.231756430656666,0.0001717918068302
292,5.88155098257,0.0003564046991506,3.2317871150033337,0.0001958368022058
293,5.8814213934633335,0.0003155714578096,3.2317159082299995,0.0001733997842151
294,5.88267245716,0.0002971021749391,3.232403341376667,0.0001632513085483
295,5.881977343046668,0.0003681790633371,3.23202139109,0.0002023065367906
296,5.881606052646666,0.0003795272305565,3.2318173746933336,0.0002085421452118
297,5.8818164525166665,0.000387101261645,3.2319329847333336,0.0002127038881681
298,5.881687878906667,0.0003566117388733,3.2318623363100003,0.0001959505612465
299,5.8757012030933335,0.0003397045089097,3.228572785736667,0.0001866603843606
300,5.883038339576666,0.0004302562159316,3.23260438603,0.0002364166501977
