temperature,G alpha,G beta
195,-7.469493949991999,-4.978955879588203
196,-7.4927706124188544,-4.988793216503552
197,-7.516368353433194,-4.998725879508875
198,-7.539712514297086,-5.007455617496646
199,-7.563302682254205,-5.018943300986615
200,-7.586985067709639,-5.028913396305901
201,-7.610785130963618,-5.038821185073209
202,-7.634922028110828,-5.0486901514430125
203,-7.658308155848064,-5.058612458585012
204,-7.681421756805655,-5.068412504167013
205,-7.7046920161491546,-5.078391484791778
206,-7.727970421996554,-5.088275360606541
207,-7.751446456891107,-5.098193798168097
208,-7.775366595392832,-5.108136752093293
209,-7.799210440889615,-5.118049003346295
210,-7.822923687191562,-5.128009678681564
211,-7.84627927379864,-5.137872374027804
212,-7.867117797536106,-5.147796402015422
213,-7.891688535162754,-5.157725037254529
214,-7.914656469648465,-5.166668687580769
215,-7.938311171196868,-5.178101210249119
216,-7.961974610909657,-5.188015905600143
217,-7.985510487043755,-5.197864106083609
218,-8.010218839768191,-5.20774622077347
219,-8.03449357238618,-5.217702972007122
220,-8.057580123095292,-5.22767455589058
221,-8.080724851613004,-5.2375801915244
222,-8.103985959618278,-5.247281761788841
223,-8.127649547607925,-5.257508915884721
224,-8.151424742240977,-5.2645328183725395
225,-8.175679867571876,-5.274434805272238
226,-8.200392273576515,-5.287264096091188
227,-8.22462625059435,-5.296803184101105
228,-8.248054772350137,-5.306688728538539
229,-8.2710095394019,-5.309606098725457
230,-8.29421950627455,-5.323688806752624
231,-8.317997302321332,-5.337592493965417
232,-8.341818588938644,-5.347490044877252
233,-8.364844243247026,-5.357497467524877
234,-8.38770519988809,-5.367394792284478
235,-8.40884109380502,-5.377450634412745
236,-8.433713839201742,-5.384420477688347
237,-8.45749702867123,-5.397320642388561
238,-8.479000325334054,-5.404386733447916
239,-8.503687502570346,-5.417173694433266
240,-8.526701041023145,-5.427124637781942
241,-8.550487162012654,-5.437128569094276
242,-8.574291943153357,-5.447014922068928
243,-8.597668531657298,-5.4570304827785225
244,-8.620676443374112,-5.466993558870287
245,-8.644059409798773,-5.476960425634687
246,-8.667877409174528,-5.486939425318597
247,-8.691425577165468,-5.496856382150235
248,-8.7126219571854,-5.503466443375522
249,-8.737895967853232,-5.516922731154261
250,-8.757986265696642,-5.526910340610533
251,-8.78376845910604,-5.5364654122961685
252,-8.80623110062283,-5.546942768266168
253,-8.829466799633508,-5.556920260173736
254,-8.852812900803775,-5.566575620864118
255,-8.876653554253512,-5.577098135092753
256,-8.900016011870633,-5.575208743594684
257,-8.923119807450393,-5.590974549081591
258,-8.94693573849091,-5.60707115977197
259,-8.96860505243483,-5.617000984723214
260,-8.991555761454393,-5.622850017450333
261,-9.016623253624392,-5.637396245059774
262,-9.039869091826866,-5.647449314156527
263,-9.061012952056439,-5.656623314303003
264,-9.086247594551395,-5.6676376478019055
265,-9.105998239085253,-5.677616277533884
266,-9.132822915794241,-5.687199646380509
267,-9.156522420309397,-5.696833576820043
268,-9.179761881520022,-5.705014669398796
269,-9.199663625322641,-5.717988925388445
270,-9.225728214319847,-5.727944038939794
271,-9.249099294785827,-5.737942578263978
272,-9.272932074302988,-5.746845755239647
273,-9.294093629470241,-5.758242355419699
274,-9.319834182408973,-5.76818940263494
275,-9.340227712556928,-5.778201581585933
276,-9.366327378808702,-5.7882558954563965
277,-9.38948914001271,-5.798228959897336
278,-9.41265539934487,-5.799744685481371
279,-9.436670541116618,-5.81845029130675
280,-9.460548263106656,-5.826393162827707
281,-9.484238397489726,-5.839505558748562
282,-9.505763633513252,-5.849453552585211
283,-9.528163355129337,-5.859541437660057
284,-9.553634188730504,-5.860561061140166
285,-9.576766424160084,-5.879444848290167
286,-9.600139635643243,-5.89186693778575
287,-9.623696984382915,-5.901830015293799
288,-9.64688131480299,-5.91184331411337
289,-9.66982442175803,-5.9217723781538565
290,-9.692832733257058,-5.9318745582886905
291,-9.7133962928187,-5.941881751717952
292,-9.738132817671245,-5.951870611205838
293,-9.75686032664869,-5.9611092901354015
294,-9.779149620456518,-5.969514301781724
295,-9.799034436511137,-5.982513884909724
296,-9.828244344554744,-5.992521385976899
297,-9.85162760376132,-6.002634748687298
298,-9.87292969298014,-6.012634397450608
299,-9.89938242401367,-6.012374165580037
300,-9.92188125194561,-6.019317027528916
